species_id,bwg_name,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,functional_group,BS1,BS2,BS3,BS4,BS5,LO1,LO2,LO3,LO4,LO5,LO6,LO7,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,BF1,BF2,BF3,BF4,stage,length_mm,biomass_type,biomass_mg,provenance,provenance_species,closest_relative,num_relatives,shared_taxon,r_squared,sample_size,intercept,slope,ln_intercept
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Podocopa,Podocopida,Cytherocopina,,NA,NA,Metacyparis,,scraper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,,0.0066,length.interpolate,exact,NA,NA,NA,NA,NA,NA,NA,NA
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Podocopa,Podocopida,Cytherocopina,,NA,NA,Metacyparis,,scraper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,,0.034,length.interpolate,exact,NA,NA,NA,NA,NA,NA,NA,NA
NA,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Podocopa,Podocopida,Cytherocopina,,NA,NA,Metacyparis,,scraper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,,0.015,length.interpolate,exact,NA,NA,NA,NA,NA,NA,NA,NA
NA,Diptera.697,Eukaryota,Animalia,Arthropoda,,Insecta,Neoptera,Diptera,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA
NA,Coleoptera.80,Eukaryota,Animalia,Arthropoda,,Insecta,Neoptera,Coleoptera,,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA
NA,,Eukaryota,Animalia,Platyhelminthes,,Turbellaria,,Tricladida,,Dugesiidae,NA,NA,Dugesia,polychroa,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,dry,1.676,length.interpolate,exact,NA,NA,NA,NA,7820,0.0009669,0.0022326,NA
NA,,Eukaryota,Animalia,Platyhelminthes,,Turbellaria,,Tricladida,,Dugesiidae,NA,NA,Dugesia,polychroa,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,dry,1.558,length.interpolate,exact,NA,NA,NA,NA,7820,0.0009669,0.0022326,NA
NA,,Eukaryota,Animalia,Platyhelminthes,,Turbellaria,,Tricladida,,Dugesiidae,NA,NA,Girardia,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,,exact,NA,NA,NA,0.86,28,NA,1.91,-4.01
NA,,Eukaryota,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Lumbriculidae,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,,exact,NA,NA,NA,0.74,28,NA,3.25,-9.19
NA,,Eukaryota,Animalia,Annelida,,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,,exact,NA,NA,NA,0.57,20,NA,0.74,-2.58
NA,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,NA,NA,Helobdella,stagnalis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,wet,2.4,length.raw,exact,NA,NA,NA,0.595,19,NA,0.88,-1.69
NA,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,NA,NA,Helobdella,stagnalis,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,wet,20.1,length.raw,exact,NA,NA,NA,0.595,19,NA,0.88,-1.69
NA,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Pharyngobdella,Erpobdellidae,NA,NA,Erpobdella,octoculata,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,wet,1.1,length.raw,exact,NA,NA,NA,0.781,63,NA,0.8,-0.96
NA,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Pharyngobdella,Erpobdellidae,NA,NA,Erpobdella,octoculata,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,wet,101,length.raw,exact,NA,NA,NA,0.781,63,NA,0.8,-0.96
NA,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,NA,NA,Glossiphonia,complanata,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,wet,8.5,length.raw,exact,NA,NA,NA,0.633,97,NA,0.66,-0.18
NA,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Rhynchobdellida,,Glossiphoniidae,NA,NA,Glossiphonia,complanata,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,wet,34.6,length.raw,exact,NA,NA,NA,0.633,97,NA,0.66,-0.18
